company,company_type,title,link,sectors,work_place,career,education,salary,deadline,reg_info,reg_days_ago,posting_period_days
네이버(주),일반기업,2026 NAVER 하계 인턴십 : 프로덕트 트랙 (UI/UX 개선),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54187964,"AI(인공지능), AIX, UI/UX디자인, Figma, 리서치",경기 성남시 분당구,신입 · 인턴직,대학교(4년)↑,면접 후 협의,D-2,4일 전 등록,4,6
(주)시큐브,코스닥,"네트워크보안, SaaS 운영  관리 플랫폼 개발, 웹 개발 부문별 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54187928&adsCategoryItem=effect_bold&,"기술지원, 데이터분석가, 데이터엔지니어, 보안컨설팅, 앱개발",서울 구로구 외,신입 · 경력 · 정규직,대학교(4년)↑,면접 후 협의,~06.30(화),4일 전 등록,4,13
오성하이테크놀로지(주),일반기업,[오성첨단소재 계열사] 생산부문 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54187861&adsCategoryItem=effect_bold&,"단순생산직, 생산관리, 품질검사원, QA, 제조가공",전북 익산시 외,경력무관 · 정규직,학력무관,면접 후 협의,D-2,4일 전 등록,4,6
(재)한국에너지재단,일반기업,[채용 제2026-04호] 제1차 기간제 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54187767,"사무직, 사무행정, 사업관리",서울 용산구,경력무관 · 계약직 외,학력무관,면접 후 협의,~06.29(월),4일 전 등록,4,12
네이버(주),일반기업,2026 NAVER 하계 인턴십 : 프로덕트 트랙 (게임 아이데이션),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54187642,"AI(인공지능), AIX, 게임디자인, 브랜드디자인, Figma",경기 성남시 분당구,신입 · 인턴직,대학교(4년)↑,면접 후 협의,D-2,4일 전 등록,4,6
(주)더존비즈온,대기업,더존비즈온 2026년 ERP컨설턴트 정규직 전환형 인턴 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54187636,"ERP, 전산회계, 더존, 전표입력, HRD",서울 중구,신입 · 인턴직,"대학(2,3년)↑",면접 후 협의,~06.30(화),4일 전 등록,4,13
(주)종근당,코스피,종근당 및 자회사 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54187501,"AICPA, CFA, IR/공시, KICPA, 예산관리",서울 서대문구 외,신입 · 경력 · 정규직,"대학(2,3년)↑",면접 후 협의,~07.02(목),4일 전 등록,4,15
네이버(주),일반기업,2026 NAVER 하계 인턴십 : 프로덕트 트랙 (브랜드 아이덴티티),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54187403,"AI(인공지능), AIX, 브랜드디자인, 모션그래픽, Figma",경기 성남시 분당구,신입 · 인턴직,대학교(4년)↑,면접 후 협의,D-2,4일 전 등록,4,6
(주)일화,일반기업,2026년 (주)일화 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54187261,"SAP, 기업회계, 법인결산, 세무기장, 세무신고",서울 강동구 외,신입 · 경력 · 정규직 외,대학교(4년)↑,면접 후 협의,~06.30(화),4일 전 등록,4,13
(주)엘지경영개발원,일반기업,채용팀 체험형 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54187112,"콘텐츠관리, 채용담당자, 인사행정, 채용공고관리, 콘텐츠기획",서울 강서구,경력무관 · 인턴직,대학교(4년)↑,면접 후 협의,~06.30(화),4일 전 등록,4,13
