company,company_type,primary_sector,title,title_length,sector_count,posting_period_days,duration_deviation,abs_duration_deviation,is_short_posting,is_long_posting,company_reposting_count,sector_reposting_count,estimated_salary,estimated_welfare_count,has_flexible_work,has_snack_bar,has_incentive,turnover_risk_score,turnover_risk_level,link
현대자동차(주),대기업,생산관리,모빌리티 기술인력 채용 (자동차 생산),21,5,9.0,-3.0,3.0,1,0,5,10,5800,7,0,0,0,11.1322849213691,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173040
현대자동차(주),대기업,기술지원,모빌리티 기술인력 채용 (R&D 기술인력),23,5,9.0,-3.0,3.0,1,0,5,25,5800,7,0,0,0,11.1322849213691,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173039
현대자동차(주),대기업,신소재,모빌리티 기술인력 채용 (배터리 기술인력),23,5,9.0,-3.0,3.0,1,0,5,1,5800,7,0,0,0,11.1322849213691,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173038
현대자동차(주),대기업,장비설계,모빌리티 기술인력 채용 (R&D 유틸리티 관리),26,5,9.0,-3.0,3.0,1,0,5,1,5800,7,0,0,0,11.1322849213691,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173036
현대자동차(주),대기업,모델링,모빌리티 기술인력 채용 (디자인 모델러),22,4,9.0,-3.0,3.0,1,0,5,3,5800,7,0,0,0,11.1322849213691,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173037
다올이앤씨(주),외국계,안전관리자,2026년도 상반기 신입/경력 채용 [토목(시공)/안전],31,5,10.0,-2.0,2.0,1,0,1,4,4800,5,0,0,0,23.27659574468085,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54172890&adsCategoryItem=effect_bold&
한솔생명과학(주),일반기업,유지보수,2026년 화장품 각 부문 채용,17,5,28.0,16.0,16.0,0,1,1,9,3800,3,0,0,0,50.21276595744681,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54172464&adsCategoryItem=effect_bold&
엘에스엠앤엠(주),대기업,영업지원,행정직 신입사원 수시채용 [영업지원],20,1,,,,0,0,1,2,5800,7,0,0,0,3.9999999999999996,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54172312
(주)한섬,대기업,콘텐츠마케팅,고객케어팀 계약직 채용,12,4,14.0,2.0,2.0,0,1,2,1,5800,7,0,0,0,6.580943570767807,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54172091
(주)한섬,대기업,AMD,타미여성파트 AMD 계약직 채용,17,3,14.0,2.0,2.0,0,1,2,1,5800,7,0,0,0,6.580943570767807,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171959
한국마사회시설관리(주),일반기업,유지보수,현장직(정규직) 채용공고,13,5,9.0,-3.0,3.0,1,0,1,9,3800,3,0,0,0,41.91489361702128,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171841
(주)현대백화점,대기업,안전관리자,현대백화점 안전관리자 신입 채용(영남),21,3,,,,0,0,1,4,5800,7,0,0,0,3.9999999999999996,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171797
주식회사진일,일반기업,기계조작원,"[월350만원이상/구미,상주]렌즈,스마트팜,휴대폰,방산,자동차부품,프레스생산모집",44,5,28.0,16.0,16.0,0,1,1,14,3800,3,0,0,0,50.21276595744681,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171770
(주)케이세웅건설,일반기업,ERP,(주)케이세웅건설 충주PC공장 생산관리/품질관리 채용,29,5,24.0,12.0,12.0,0,1,1,7,3800,3,0,0,0,47.65957446808511,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171628&adsCategoryItem=effect_bold&
(주)현대퓨처넷,대기업,정보보안,현대퓨처넷 2026년 정보보안 신입사원 상시채용,26,3,14.0,2.0,2.0,0,1,1,8,5800,7,0,0,0,5.27659574468085,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171558
서울으뜸신용협동조합,일반기업,금융컨설팅,서울으뜸신협 직원 채용,12,5,11.0,-1.0,1.0,1,0,1,1,3800,3,0,0,0,40.63829787234043,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171359&adsCategoryItem=effect_bold&
(주)풍림푸드,일반기업,예산관리,분야별 경력/신입사원 채용,14,5,14.0,2.0,2.0,0,1,1,2,3800,3,0,0,0,41.276595744680854,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171345&adsCategoryItem=effect_bold&
국립공원공단,공사·공기업,환경관리자,월출산국립공원사무소 기간제(자원보전) 직원 채용 공고,29,4,10.0,-2.0,2.0,1,0,9,2,4200,5,0,0,0,39.71137835337651,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171146
국립공원공단,공사·공기업,환경관리자,태백산국립공원사무소 기간제(자원보전) 직원 채용 공고,29,4,11.0,-1.0,1.0,1,0,9,2,4200,5,0,0,0,39.07308048103608,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171147
국립공원공단 국립공원연구원,일반기업,연구원,"기간제(대체인력, 연구복원) 직원 채용",21,4,10.0,-2.0,2.0,1,0,1,14,3800,3,0,0,0,41.276595744680854,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171144
국립공원공단,공사·공기업,고객관리,2026년 가야산생태탐방원 국립공원지킴이-5차 채용,28,5,7.0,-5.0,5.0,1,0,9,2,4200,5,0,0,0,41.62627197039778,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171145
국립공원공단,공사·공기업,버스기사,속리산국립공원사무소 기간제(탐방시설-운전) 직원 채용,29,4,10.0,-2.0,2.0,1,0,9,1,4200,5,0,0,0,39.71137835337651,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171143
(주)슈피겐코리아,코스닥,콘텐츠기획,콘텐츠디자인,6,5,,,,0,0,7,3,4500,4,0,0,0,36.82608695652174,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170557
(주)슈피겐코리아,코스닥,상품관리,프로젝트매니저,7,3,,,,0,0,7,2,4500,4,0,0,0,36.82608695652174,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170508
토스인컴(주),일반기업,전산회계,Finance Manager,15,5,14.0,2.0,2.0,0,1,4,3,3800,3,0,0,0,45.18963922294172,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170496
토스인컴(주),일반기업,기술지원,Data Analytics Engineer,23,4,14.0,2.0,2.0,0,1,4,25,3800,3,0,0,0,45.18963922294172,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170497
토스인컴(주),일반기업,마케팅기획,Marketing Manager,17,3,14.0,2.0,2.0,0,1,4,9,3800,3,0,0,0,45.18963922294172,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170495
토스인컴(주),일반기업,기술지원,Security Engineer,17,5,14.0,2.0,2.0,0,1,4,25,3800,3,0,0,0,45.18963922294172,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170493
토스뱅크(주),대기업,QA/테스터,QA Manager,10,4,14.0,2.0,2.0,0,1,16,4,5800,7,0,0,0,24.8418131359852,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170492
(주)슈피겐코리아,코스닥,이커머스,글로벌 SCM (인도),12,4,,,,0,0,7,2,4500,4,0,0,0,36.82608695652174,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170463
(주)슈피겐코리아,코스닥,연구원,기구개발,4,5,,,,0,0,7,14,4500,4,0,0,0,36.82608695652174,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170400
(주)슈피겐코리아,코스닥,해외시장개척,글로벌 B2B 영업(아시아),15,5,,,,0,0,7,4,4500,4,0,0,0,36.82608695652174,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170364
토스씨엑스(주),일반기업,영업관리,Customer Guider (단순 OB 영업 지원),29,4,14.0,2.0,2.0,0,1,4,16,3800,3,0,0,0,45.18963922294172,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170329
토스씨엑스(주),일반기업,영업관리,Account Manager (BPO 영업/운영),27,4,14.0,2.0,2.0,0,1,4,16,3800,3,0,0,0,45.18963922294172,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170331
토스씨엑스(주),일반기업,영업관리,Customer Guider (부산센터 토스쇼핑 고객 문의 응대),36,5,14.0,2.0,2.0,0,1,4,16,3800,3,0,0,0,45.18963922294172,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170328
토스씨엑스(주),일반기업,고객관리,Operations Supporter (착오송금),27,5,14.0,2.0,2.0,0,1,4,2,3800,3,0,0,0,45.18963922294172,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170327
(주)슈피겐코리아,코스닥,영업전략,글로벌 이커머스 영업(인도),15,5,,,,0,0,7,3,4500,4,0,0,0,36.82608695652174,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170310
한국문화진흥(주),일반기업,조경설계,체험형 청년인턴(코스관리) 채용,17,3,12.0,0.0,0.0,0,0,5,1,3800,3,0,0,0,45.21739130434783,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170225
한국문화진흥(주),일반기업,서무,체험형 청년인턴(행정보조) 채용,17,5,12.0,0.0,0.0,0,0,5,3,3800,3,0,0,0,45.21739130434783,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170217
한국문화진흥(주),일반기업,고객안내,정규직(프런트) 채용,11,4,12.0,0.0,0.0,0,0,5,2,3800,3,0,0,0,45.21739130434783,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54170192
